Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Dizziness,50.0,35.29,66.67,100.0,66.67
Earache,52.0,50.0,71.43,0.0,44.44
Skin Lesion,72.0,60.0,100.0,100.0,57.14
Eye Infection,56.0,36.36,75.0,100.0,66.67
Constipation,77.78,75.0,75.0,66.67,87.5
Fatique,44.44,57.89,22.22,0.0,75.0
Sore Throat,83.33,66.67,100.0,100.0,77.78
Burnout,57.5,37.5,77.78,20.0,90.0
Migraine,80.95,81.82,80.0,50.0,87.5
Back Pain,68.29,75.0,60.0,0.0,83.33
Average,64.229,57.553,72.81,53.66700000000001,73.60300000000001
