Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Dizziness,95.45,100.0,88.89,100.0,100.0
Earache,100.0,100.0,100.0,100.0,100.0
Skin Lesion,93.1,93.75,100.0,100.0,75.0
Eye Infection,89.66,87.5,80.0,100.0,100.0
Constipation,97.14,100.0,88.89,100.0,100.0
Fatique,100.0,100.0,100.0,100.0,100.0
Sore Throat,94.74,92.31,93.75,100.0,100.0
Burnout,100.0,100.0,100.0,100.0,100.0
Migraine,94.87,90.91,100.0,100.0,100.0
Back Pain,97.78,100.0,90.91,100.0,100.0
Average,96.27399999999999,96.44699999999999,94.244,100.0,97.5
