Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Eye Infection,56.0,45.45,50.0,100.0,66.67
Constipation,77.78,75.0,50.0,66.67,100.0
Skin Lesion,56.0,60.0,66.67,100.0,28.57
Earache,68.0,75.0,100.0,0.0,44.44
Dizziness,50.0,47.06,50.0,100.0,50.0
Sore Throat,77.78,66.67,85.71,100.0,77.78
Migraine,83.33,77.27,90.0,50.0,100.0
Fatique,69.44,89.47,77.78,0.0,25.0
Back Pain,65.85,81.25,40.0,33.33,75.0
Burnout,60.0,62.5,77.78,20.0,60.0
Average,66.41799999999999,67.96700000000001,68.79400000000001,57.000000000000014,62.746
