Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Eye Infection,92.86,92.86,80.0,100.0,100.0
Constipation,100.0,100.0,100.0,100.0,100.0
Skin Lesion,90.91,92.31,87.5,100.0,85.71
Earache,97.14,100.0,100.0,100.0,90.0
Dizziness,92.11,100.0,83.33,100.0,100.0
Sore Throat,100.0,100.0,100.0,100.0,100.0
Migraine,100.0,100.0,100.0,100.0,100.0
Fatique,100.0,100.0,100.0,100.0,100.0
Back Pain,100.0,100.0,100.0,100.0,100.0
Burnout,98.15,100.0,100.0,100.0,88.89
Average,97.11699999999999,98.51700000000001,95.083,100.0,96.46000000000001
