Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,100.0,100.0,100.0,100.0,100.0
Eye Infection,94.29,93.75,100.0,100.0,88.89
Constipation,97.14,95.24,100.0,100.0,100.0
Back Pain,95.0,100.0,75.0,100.0,100.0
Sore Throat,95.45,100.0,88.24,100.0,100.0
Dizziness,95.92,95.24,95.24,100.0,100.0
Skin Lesion,92.45,95.24,100.0,100.0,83.33
Migraine,100.0,100.0,100.0,100.0,100.0
Burnout,100.0,100.0,100.0,100.0,100.0
Fatique,98.36,100.0,94.12,100.0,100.0
Average,96.861,97.947,95.26,100.0,97.22200000000001
