Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Constipation,96.88,100.0,83.33,100.0,100.0
Earache,100.0,100.0,100.0,100.0,100.0
Eye Infection,94.29,100.0,83.33,100.0,90.91
Sore Throat,100.0,100.0,100.0,100.0,100.0
Fatique,95.83,100.0,92.31,100.0,88.89
Dizziness,100.0,100.0,100.0,100.0,100.0
Migraine,95.83,92.59,100.0,100.0,100.0
Back Pain,94.12,100.0,100.0,100.0,81.25
Burnout,73.61,97.62,100.0,100.0,0.0
Skin Lesion,82.5,82.35,100.0,100.0,63.64
Average,93.30600000000001,97.256,95.897,100.0,82.469
