Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,100.0,100.0,100.0,100.0,100.0
Eye Infection,95.24,94.74,87.5,100.0,100.0
Constipation,93.18,95.0,75.0,100.0,100.0
Skin Lesion,86.67,84.21,100.0,100.0,76.92
Sore Throat,97.83,100.0,94.12,100.0,100.0
Dizziness,100.0,100.0,100.0,100.0,100.0
Back Pain,89.8,100.0,77.78,100.0,81.25
Fatique,100.0,100.0,100.0,100.0,100.0
Migraine,96.43,96.55,100.0,100.0,91.67
Burnout,98.39,97.56,100.0,100.0,100.0
Average,95.754,96.806,93.44,100.0,94.98400000000001
