Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,64.0,62.5,57.14,100.0,66.67
Eye Infection,48.0,27.27,50.0,100.0,66.67
Skin Lesion,68.0,70.0,100.0,100.0,28.57
Constipation,81.48,83.33,75.0,66.67,87.5
Dizziness,80.0,76.47,83.33,100.0,83.33
Migraine,57.14,68.18,80.0,50.0,0.0
Sore Throat,77.78,66.67,71.43,100.0,100.0
Fatique,63.89,73.68,66.67,0.0,75.0
Burnout,65.0,50.0,88.89,20.0,90.0
Back Pain,78.05,93.75,70.0,33.33,75.0
Average,68.33399999999999,67.18499999999999,74.246,67.00000000000001,67.274
