Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,60.0,62.5,71.43,100.0,44.44
Constipation,77.78,66.67,75.0,66.67,100.0
Eye Infection,52.0,27.27,50.0,100.0,77.78
Skin Lesion,68.0,70.0,100.0,100.0,28.57
Fatique,58.33,68.42,55.56,0.0,75.0
Dizziness,66.67,58.82,50.0,100.0,100.0
Sore Throat,80.56,66.67,78.57,100.0,100.0
Back Pain,70.73,75.0,70.0,0.0,83.33
Migraine,61.9,72.73,40.0,50.0,62.5
Burnout,65.0,68.75,77.78,0.0,80.0
Average,66.097,63.68300000000001,66.83399999999999,61.66700000000001,75.162
