Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,95.83,90.91,100.0,100.0,100.0
Constipation,96.43,100.0,85.71,100.0,100.0
Eye Infection,100.0,100.0,100.0,100.0,100.0
Skin Lesion,86.49,93.33,80.0,75.0,87.5
Fatique,93.55,93.75,100.0,100.0,85.71
Dizziness,100.0,100.0,100.0,100.0,100.0
Sore Throat,97.37,100.0,92.86,100.0,100.0
Back Pain,87.5,100.0,85.71,100.0,75.0
Migraine,97.14,95.0,100.0,100.0,100.0
Burnout,100.0,100.0,100.0,100.0,100.0
Average,95.43100000000001,97.299,94.428,97.5,94.821
