Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,96.0,90.91,100.0,100.0,100.0
Constipation,93.1,100.0,71.43,100.0,100.0
Eye Infection,93.94,92.31,100.0,100.0,91.67
Skin Lesion,88.24,86.67,80.0,100.0,90.0
Dizziness,100.0,100.0,100.0,100.0,100.0
Sore Throat,94.44,92.86,90.91,100.0,100.0
Fatique,92.11,100.0,75.0,100.0,100.0
Burnout,100.0,100.0,100.0,100.0,100.0
Migraine,97.3,95.0,100.0,100.0,100.0
Back Pain,91.67,100.0,85.71,100.0,83.33
Average,94.67999999999998,95.775,90.30499999999999,100.0,96.50000000000001
