Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Eye Infection,56.0,27.27,50.0,100.0,88.89
Earache,68.0,75.0,85.71,100.0,44.44
Constipation,85.19,83.33,75.0,66.67,100.0
Skin Lesion,80.0,80.0,100.0,100.0,57.14
Dizziness,60.0,52.94,66.67,100.0,66.67
Sore Throat,58.33,83.33,71.43,100.0,0.0
Burnout,50.0,68.75,88.89,20.0,0.0
Fatique,75.0,94.74,77.78,0.0,50.0
Back Pain,73.17,75.0,90.0,0.0,75.0
Migraine,76.19,72.73,90.0,50.0,75.0
Average,68.18799999999999,71.309,79.548,63.66700000000001,55.714
