Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,72.0,75.0,100.0,100.0,44.44
Eye Infection,56.0,36.36,50.0,100.0,77.78
Dizziness,63.33,58.82,50.0,100.0,83.33
Constipation,74.07,83.33,75.0,0.0,87.5
Sore Throat,69.44,58.33,64.29,100.0,88.89
Burnout,65.0,56.25,77.78,0.0,100.0
Fatique,63.89,78.95,66.67,0.0,50.0
Back Pain,73.17,75.0,70.0,0.0,91.67
Migraine,66.67,63.64,80.0,50.0,62.5
Skin Lesion,72.0,90.0,100.0,100.0,14.29
Average,67.55699999999999,67.568,73.374,55.0,70.03999999999999
