Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,96.15,90.91,100.0,100.0,100.0
Eye Infection,100.0,100.0,100.0,100.0,100.0
Dizziness,100.0,100.0,100.0,100.0,100.0
Constipation,96.55,92.31,100.0,100.0,100.0
Sore Throat,93.55,80.0,100.0,100.0,100.0
Burnout,100.0,100.0,100.0,100.0,100.0
Fatique,94.12,94.44,100.0,100.0,83.33
Back Pain,97.22,100.0,100.0,100.0,90.91
Migraine,100.0,100.0,100.0,100.0,100.0
Skin Lesion,81.08,86.67,62.5,100.0,80.0
Average,95.867,94.433,96.25,100.0,95.424
