Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,64.0,62.5,85.71,100.0,44.44
Skin Lesion,64.0,50.0,100.0,100.0,42.86
Eye Infection,56.0,45.45,50.0,100.0,66.67
Constipation,74.07,83.33,75.0,0.0,87.5
Dizziness,66.67,58.82,83.33,100.0,66.67
Sore Throat,72.22,58.33,78.57,100.0,77.78
Fatique,72.22,78.95,88.89,0.0,75.0
Migraine,61.9,54.55,80.0,50.0,62.5
Back Pain,78.05,93.75,80.0,0.0,75.0
Burnout,70.0,62.5,100.0,0.0,90.0
Average,67.91299999999998,64.81800000000001,82.15,55.0,68.84200000000001
