Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,95.83,90.91,100.0,100.0,100.0
Skin Lesion,100.0,100.0,100.0,100.0,100.0
Eye Infection,96.43,100.0,100.0,100.0,88.89
Constipation,96.3,100.0,85.71,100.0,100.0
Dizziness,94.12,93.75,92.86,100.0,100.0
Sore Throat,89.19,85.71,86.67,100.0,100.0
Fatique,90.24,95.65,81.82,100.0,83.33
Migraine,87.18,78.95,100.0,100.0,88.89
Back Pain,90.7,100.0,90.0,100.0,75.0
Burnout,100.0,100.0,100.0,100.0,100.0
Average,93.999,94.497,93.70599999999999,100.0,93.611
