Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Eye Infection,52.0,27.27,50.0,100.0,77.78
Constipation,44.44,58.33,50.0,66.67,12.5
Dizziness,43.33,35.29,50.0,100.0,50.0
Earache,56.0,62.5,57.14,100.0,44.44
Skin Lesion,32.0,30.0,66.67,50.0,0.0
Back Pain,26.83,25.0,20.0,0.0,41.67
Sore Throat,55.56,50.0,64.29,100.0,44.44
Fatique,38.89,36.84,44.44,0.0,75.0
Migraine,64.29,54.55,90.0,50.0,62.5
Burnout,50.0,25.0,77.78,40.0,70.0
Average,46.333999999999996,40.478,57.032,60.66700000000001,47.833000000000006
