Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Eye Infection,94.74,100.0,75.0,100.0,100.0
Constipation,100.0,100.0,100.0,100.0,100.0
Dizziness,84.21,77.78,83.33,100.0,100.0
Earache,100.0,100.0,100.0,100.0,100.0
Skin Lesion,80.0,85.71,71.43,100.0,66.67
Back Pain,95.65,100.0,83.33,100.0,100.0
Sore Throat,93.1,75.0,100.0,100.0,100.0
Fatique,90.0,91.67,75.0,100.0,100.0
Migraine,93.33,81.82,100.0,100.0,100.0
Burnout,96.55,100.0,85.71,100.0,100.0
Average,92.75800000000001,91.19800000000001,87.38,100.0,96.667
