Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Eye Infection,8.0,0.0,0.0,100.0,11.11
Constipation,37.04,58.33,50.0,0.0,12.5
Earache,52.0,37.5,71.43,100.0,44.44
Skin Lesion,24.0,20.0,33.33,50.0,14.29
Sore Throat,38.89,25.0,42.86,100.0,44.44
Dizziness,30.0,23.53,50.0,100.0,16.67
Back Pain,19.51,12.5,20.0,33.33,25.0
Migraine,28.57,27.27,20.0,50.0,37.5
Fatique,19.44,21.05,11.11,0.0,50.0
Burnout,32.5,6.25,66.67,0.0,60.0
Average,28.994999999999997,23.143,36.540000000000006,53.33299999999999,31.595
