Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Eye Infection,84.62,100.0,33.33,100.0,100.0
Constipation,93.33,100.0,80.0,100.0,100.0
Earache,100.0,100.0,100.0,100.0,100.0
Skin Lesion,100.0,100.0,100.0,100.0,100.0
Sore Throat,100.0,100.0,100.0,100.0,100.0
Dizziness,94.44,88.89,100.0,100.0,100.0
Back Pain,73.33,100.0,20.0,100.0,100.0
Migraine,100.0,100.0,100.0,100.0,100.0
Fatique,89.47,85.71,80.0,100.0,100.0
Burnout,88.89,100.0,100.0,100.0,60.0
Average,92.408,97.46000000000001,81.333,100.0,96.0
