Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,92.31,80.0,100.0,100.0,100.0
Eye Infection,75.0,50.0,75.0,100.0,100.0
Sore Throat,100.0,100.0,100.0,100.0,100.0
Skin Lesion,94.74,100.0,100.0,100.0,80.0
Constipation,95.0,100.0,100.0,66.67,100.0
Dizziness,88.89,90.0,75.0,100.0,100.0
Migraine,100.0,100.0,100.0,100.0,100.0
Back Pain,100.0,100.0,100.0,100.0,100.0
Burnout,100.0,100.0,100.0,100.0,100.0
Fatique,88.46,90.0,83.33,100.0,80.0
Average,93.44000000000001,91.0,93.333,96.667,96.0
