Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Eye Infection,40.0,36.36,50.0,100.0,33.33
Skin Lesion,52.0,50.0,66.67,50.0,42.86
Constipation,51.85,66.67,50.0,0.0,50.0
Earache,56.0,75.0,57.14,0.0,44.44
Fatique,19.44,26.32,22.22,0.0,0.0
Dizziness,46.67,58.82,50.0,100.0,0.0
Sore Throat,52.78,50.0,57.14,100.0,44.44
Burnout,32.5,6.25,44.44,20.0,70.0
Migraine,42.86,54.55,30.0,50.0,25.0
Back Pain,34.15,43.75,20.0,33.33,33.33
Average,42.825,46.772000000000006,44.761,45.333,34.339999999999996
