Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Eye Infection,92.86,80.0,100.0,100.0,100.0
Skin Lesion,89.47,88.89,75.0,100.0,100.0
Constipation,100.0,100.0,100.0,100.0,100.0
Earache,95.45,88.89,100.0,100.0,100.0
Fatique,84.21,100.0,83.33,0.0,100.0
Dizziness,95.65,93.33,100.0,100.0,100.0
Sore Throat,100.0,100.0,100.0,100.0,100.0
Burnout,100.0,100.0,100.0,100.0,100.0
Migraine,90.91,92.31,100.0,100.0,75.0
Back Pain,100.0,100.0,100.0,100.0,100.0
Average,94.85499999999999,94.34199999999998,95.833,90.0,97.5
