Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Skin Lesion,40.0,30.0,50.0,100.0,28.57
Eye Infection,36.0,18.18,50.0,100.0,44.44
Earache,48.0,75.0,28.57,0.0,44.44
Constipation,48.15,66.67,50.0,0.0,37.5
Dizziness,33.33,29.41,50.0,100.0,16.67
Sore Throat,50.0,50.0,42.86,100.0,55.56
Fatique,27.78,26.32,22.22,0.0,75.0
Back Pain,43.9,68.75,20.0,0.0,41.67
Burnout,42.5,43.75,44.44,20.0,50.0
Migraine,47.62,50.0,60.0,50.0,25.0
Average,41.727999999999994,45.80800000000001,41.809,47.0,41.885000000000005
