Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Eye Infection,28.0,18.18,50.0,100.0,22.22
Earache,56.0,50.0,71.43,100.0,44.44
Constipation,51.85,75.0,50.0,0.0,37.5
Skin Lesion,44.0,60.0,66.67,50.0,0.0
Dizziness,36.67,35.29,50.0,100.0,16.67
Sore Throat,41.67,41.67,42.86,100.0,33.33
Fatique,27.78,31.58,22.22,0.0,50.0
Migraine,47.62,40.91,70.0,50.0,37.5
Burnout,42.5,12.5,77.78,20.0,70.0
Back Pain,46.34,68.75,40.0,33.33,25.0
Average,42.24300000000001,43.388,54.096000000000004,55.333000000000006,33.666
