Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Eye Infection,93.33,85.71,100.0,100.0,100.0
Earache,100.0,100.0,100.0,100.0,100.0
Constipation,100.0,100.0,100.0,100.0,100.0
Skin Lesion,95.45,100.0,85.71,100.0,100.0
Dizziness,100.0,100.0,100.0,100.0,100.0
Sore Throat,100.0,100.0,100.0,100.0,100.0
Fatique,90.0,87.5,80.0,100.0,100.0
Migraine,100.0,100.0,100.0,100.0,100.0
Burnout,100.0,100.0,100.0,100.0,100.0
Back Pain,92.86,100.0,66.67,100.0,100.0
Average,97.164,97.321,93.238,100.0,100.0
