Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Sore Throat,85.11,85.71,85.71,50.0,93.33
Earache,60.47,50.0,88.89,50.0,62.5
Constipation,56.86,46.43,71.43,50.0,75.0
Eye Infection,46.15,37.5,57.14,16.67,66.67
Migraine,73.21,60.71,100.0,50.0,90.91
Skin Lesion,48.98,32.0,90.0,50.0,50.0
Dizziness,44.44,71.43,20.0,50.0,28.57
Back Pain,70.18,68.0,80.0,57.14,73.33
Burnout,52.46,47.83,87.5,28.57,52.17
Fatigue,41.43,47.06,44.44,50.0,16.67
Average,57.928999999999995,54.666999999999994,72.511,45.238,60.914999999999985
