Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,84.0,87.5,85.71,100.0,77.78
Eye Infection,72.0,63.64,50.0,100.0,88.89
Sore Throat,80.56,66.67,85.71,100.0,88.89
Dizziness,66.67,58.82,66.67,100.0,83.33
Skin Lesion,60.0,50.0,100.0,100.0,28.57
Constipation,88.89,83.33,100.0,66.67,100.0
Migraine,71.43,54.55,90.0,100.0,87.5
Burnout,52.5,43.75,77.78,40.0,50.0
Back Pain,75.61,62.5,60.0,100.0,100.0
Fatigue,52.78,63.16,55.56,0.0,50.0
Average,70.44399999999999,63.391999999999996,77.14299999999999,80.667,75.49600000000001
