Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,87.5,88.89,100.0,100.0,62.5
Eye Infection,86.27,78.26,100.0,83.33,93.33
Sore Throat,97.92,100.0,93.33,100.0,100.0
Dizziness,83.33,95.24,86.67,100.0,57.14
Skin Lesion,84.62,92.59,70.0,83.33,77.78
Constipation,98.08,100.0,85.71,100.0,100.0
Migraine,98.11,100.0,100.0,75.0,100.0
Burnout,100.0,100.0,100.0,100.0,100.0
Back Pain,89.47,76.0,100.0,100.0,100.0
Fatigue,93.06,88.89,94.44,100.0,100.0
Average,91.83599999999998,91.987,93.01500000000001,94.166,89.075
