Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,66.67,56.25,77.78,50.0,80.0
Constipation,58.97,47.62,37.5,100.0,100.0
Sore Throat,80.0,78.57,80.0,33.33,100.0
Eye Infection,38.64,21.74,50.0,33.33,70.0
Skin Lesion,48.84,46.67,62.5,62.5,33.33
Fatigue,45.61,51.85,41.18,42.86,33.33
Migraine,70.18,61.54,66.67,75.0,86.67
Dizziness,45.61,66.67,22.73,33.33,50.0
Back Pain,68.42,63.64,70.0,100.0,66.67
Burnout,51.09,45.9,81.82,16.67,64.29
Average,57.403,54.045,59.01800000000001,54.702,68.429
