Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,56.1,52.94,77.78,25.0,54.55
Sore Throat,69.23,60.0,85.71,40.0,76.92
Eye Infection,47.92,43.48,71.43,16.67,58.33
Constipation,57.14,46.43,37.5,66.67,100.0
Burnout,55.74,51.52,100.0,0.0,66.67
Migraine,78.85,72.0,80.0,75.0,92.31
Skin Lesion,43.64,23.08,80.0,55.56,50.0
Back Pain,80.0,91.67,84.62,88.89,69.23
Dizziness,39.51,54.55,23.08,50.0,28.57
Fatigue,39.02,48.72,57.14,28.57,13.64
Average,56.714999999999996,54.439,69.726,44.635999999999996,61.022000000000006
