Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,80.0,100.0,85.71,100.0,55.56
Eye Infection,68.0,54.55,75.0,100.0,77.78
Sore Throat,83.33,75.0,85.71,100.0,88.89
Constipation,88.89,83.33,75.0,100.0,100.0
Skin Lesion,76.0,60.0,100.0,100.0,71.43
Migraine,85.71,81.82,90.0,100.0,87.5
Back Pain,85.37,75.0,90.0,100.0,91.67
Fatigue,77.78,84.21,77.78,25.0,100.0
Dizziness,73.33,70.59,66.67,100.0,83.33
Burnout,77.5,93.75,77.78,40.0,70.0
Average,79.59100000000001,77.825,82.36499999999998,86.5,82.61600000000001
