Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,88.1,94.12,100.0,100.0,66.67
Eye Infection,82.98,91.3,100.0,66.67,63.64
Sore Throat,88.24,85.0,93.33,100.0,81.82
Constipation,85.42,85.71,62.5,100.0,100.0
Skin Lesion,79.63,80.77,70.0,87.5,80.0
Migraine,92.31,88.0,90.0,100.0,100.0
Back Pain,93.33,100.0,84.62,100.0,92.31
Fatigue,91.3,100.0,92.86,100.0,76.19
Dizziness,83.95,100.0,92.31,75.0,35.71
Burnout,98.75,100.0,100.0,85.71,100.0
Average,88.401,92.49,88.56199999999998,91.48800000000001,79.634
