Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Eye Infection,51.28,43.75,71.43,16.67,70.0
Earache,55.0,42.11,87.5,25.0,66.67
Sore Throat,75.0,66.67,91.67,33.33,81.82
Dizziness,49.06,68.18,23.81,50.0,66.67
Back Pain,73.58,86.67,69.23,100.0,63.64
Skin Lesion,42.59,28.0,77.78,57.14,38.46
Constipation,54.0,53.85,33.33,60.0,70.0
Fatigue,44.62,60.0,50.0,50.0,12.5
Migraine,64.29,68.57,88.89,36.36,60.0
Burnout,49.45,45.0,88.89,33.33,50.0
Average,55.887,56.279999999999994,68.253,46.183,57.976
