Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Eye Infection,80.0,72.73,75.0,100.0,88.89
Earache,80.0,87.5,71.43,100.0,77.78
Constipation,85.19,83.33,75.0,66.67,100.0
Sore Throat,83.33,75.0,85.71,100.0,88.89
Dizziness,90.0,88.24,83.33,100.0,100.0
Back Pain,82.93,68.75,90.0,100.0,91.67
Skin Lesion,68.0,60.0,100.0,100.0,42.86
Fatigue,75.0,84.21,88.89,0.0,75.0
Migraine,88.1,90.91,90.0,100.0,75.0
Burnout,85.0,87.5,77.78,80.0,90.0
Average,81.75500000000001,79.817,83.71399999999998,84.667,83.009
