Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Eye Infection,92.31,93.75,100.0,83.33,90.0
Earache,85.0,80.0,100.0,100.0,75.0
Constipation,86.0,88.0,55.56,100.0,100.0
Sore Throat,95.65,88.89,100.0,100.0,100.0
Dizziness,96.23,100.0,90.48,100.0,100.0
Back Pain,98.18,100.0,92.31,100.0,100.0
Skin Lesion,70.91,66.67,66.67,100.0,66.67
Fatigue,90.14,100.0,92.86,100.0,64.71
Migraine,94.29,91.18,100.0,91.67,100.0
Burnout,95.65,100.0,100.0,83.33,92.86
Average,90.436,90.849,89.78800000000001,95.833,88.924
