Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,48.84,33.33,77.78,25.0,83.33
Eye Infection,53.06,39.29,50.0,66.67,83.33
Sore Throat,71.15,50.0,88.24,66.67,90.0
Constipation,57.45,56.0,50.0,50.0,70.0
Skin Lesion,47.37,36.67,87.5,62.5,36.36
Dizziness,48.28,62.5,29.17,33.33,71.43
Migraine,62.3,64.52,100.0,40.0,47.06
Back Pain,64.79,68.75,58.33,100.0,58.33
Fatigue,52.0,58.97,56.25,40.0,30.0
Burnout,47.47,41.67,81.82,27.27,51.72
Average,55.271,51.17,67.90899999999999,51.14399999999999,62.15599999999999
