Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Migraine,69.49,63.64,100.0,25.0,76.92
Back Pain,61.84,70.97,69.23,50.0,50.0
Earache,59.09,45.0,77.78,25.0,81.82
Dizziness,61.7,71.43,38.89,66.67,100.0
Sore Throat,80.39,73.68,88.24,50.0,84.62
Eye Infection,38.18,32.0,25.0,12.5,71.43
Constipation,55.32,54.55,50.0,75.0,53.85
Skin Lesion,41.82,28.0,75.0,40.0,50.0
Burnout,55.0,56.1,75.0,14.29,55.0
Fatigue,54.93,57.89,63.16,42.86,28.57
Average,57.77599999999999,55.32600000000001,66.23,40.132000000000005,65.221
