Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,84.0,87.5,85.71,100.0,77.78
Constipation,88.89,83.33,75.0,100.0,100.0
Dizziness,80.0,82.35,66.67,100.0,83.33
Eye Infection,68.0,45.45,50.0,100.0,100.0
Sore Throat,88.89,83.33,85.71,100.0,100.0
Skin Lesion,80.0,80.0,83.33,100.0,71.43
Migraine,95.24,100.0,100.0,50.0,87.5
Fatigue,80.56,94.74,77.78,50.0,50.0
Back Pain,90.24,93.75,80.0,100.0,91.67
Burnout,67.5,75.0,77.78,40.0,60.0
Average,82.332,82.545,78.19800000000001,84.0,82.17099999999999
