Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,97.73,100.0,100.0,100.0,90.91
Constipation,91.49,90.91,87.5,75.0,100.0
Dizziness,100.0,100.0,100.0,100.0,100.0
Eye Infection,94.55,92.0,100.0,87.5,100.0
Sore Throat,94.0,88.89,94.12,100.0,100.0
Skin Lesion,80.36,76.92,87.5,70.0,91.67
Migraine,88.89,85.29,100.0,100.0,86.67
Fatigue,93.51,95.24,100.0,66.67,100.0
Back Pain,96.3,96.77,85.71,100.0,100.0
Burnout,96.63,95.65,100.0,100.0,95.83
Average,93.34599999999999,92.167,95.483,89.917,96.50800000000001
