Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,61.22,52.38,87.5,20.0,73.33
Constipation,57.14,44.44,62.5,66.67,81.82
Sore Throat,80.77,75.0,88.89,66.67,80.0
Eye Infection,42.86,25.81,66.67,50.0,66.67
Migraine,70.69,62.5,100.0,50.0,87.5
Back Pain,72.58,71.43,83.33,100.0,63.16
Skin Lesion,41.54,28.12,75.0,62.5,41.18
Dizziness,46.55,56.0,29.17,66.67,66.67
Fatigue,51.28,60.0,64.71,11.11,33.33
Burnout,46.15,42.55,81.82,9.09,54.55
Average,57.077999999999996,51.823,73.95899999999999,50.271,64.821
