Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Constipation,92.59,83.33,100.0,100.0,100.0
Earache,84.0,87.5,85.71,100.0,77.78
Eye Infection,68.0,54.55,25.0,100.0,100.0
Sore Throat,86.11,75.0,92.86,100.0,88.89
Dizziness,66.67,52.94,83.33,100.0,83.33
Skin Lesion,64.0,60.0,83.33,100.0,42.86
Migraine,90.48,100.0,80.0,50.0,87.5
Back Pain,90.24,93.75,80.0,66.67,100.0
Fatigue,80.56,94.74,66.67,25.0,100.0
Burnout,72.5,81.25,77.78,40.0,70.0
Average,79.51500000000001,78.306,77.46799999999999,78.167,85.03599999999999
