Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,61.7,55.0,77.78,25.0,71.43
Constipation,64.15,57.14,62.5,60.0,83.33
Sore Throat,68.42,65.0,66.67,50.0,80.0
Eye Infection,50.0,41.94,50.0,33.33,81.82
Fatigue,50.0,57.14,66.67,25.0,16.67
Migraine,64.62,52.78,100.0,66.67,73.33
Dizziness,41.43,54.84,25.0,33.33,60.0
Back Pain,68.0,74.19,66.67,100.0,57.14
Skin Lesion,44.3,28.57,75.0,50.0,50.0
Burnout,40.87,43.1,75.0,6.25,41.38
Average,55.349000000000004,52.96999999999999,66.529,44.958,61.510000000000005
