Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,84.0,87.5,85.71,100.0,77.78
Eye Infection,72.0,72.73,25.0,100.0,88.89
Constipation,85.19,83.33,50.0,100.0,100.0
Sore Throat,75.0,58.33,78.57,100.0,88.89
Migraine,88.1,86.36,80.0,100.0,100.0
Dizziness,83.33,88.24,66.67,100.0,83.33
Back Pain,90.24,100.0,70.0,66.67,100.0
Fatigue,72.22,89.47,66.67,25.0,50.0
Skin Lesion,84.0,70.0,100.0,100.0,85.71
Burnout,70.0,81.25,77.78,20.0,70.0
Average,80.40799999999999,81.721,70.03999999999999,81.167,84.46000000000001
