Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,100.0,100.0,100.0,100.0,100.0
Eye Infection,90.2,89.66,100.0,80.0,90.91
Constipation,92.31,89.29,100.0,75.0,100.0
Sore Throat,91.38,80.0,94.44,100.0,100.0
Migraine,100.0,100.0,100.0,100.0,100.0
Dizziness,95.77,100.0,96.43,66.67,100.0
Back Pain,97.01,100.0,100.0,100.0,93.33
Fatigue,91.25,90.7,88.89,85.71,100.0
Skin Lesion,81.25,82.86,66.67,70.0,91.3
Burnout,94.78,93.1,100.0,93.75,96.55
Average,93.395,92.561,94.643,87.113,97.20899999999999
