Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Constipation,65.71,58.82,50.0,100.0,87.5
Earache,62.16,44.44,75.0,33.33,100.0
Migraine,80.43,70.37,100.0,50.0,100.0
Sore Throat,72.34,66.67,84.62,66.67,69.23
Dizziness,57.14,65.22,37.5,50.0,75.0
Skin Lesion,57.78,45.0,70.0,100.0,58.33
Back Pain,74.0,72.73,80.0,100.0,66.67
Eye Infection,60.87,56.52,50.0,66.67,71.43
Fatigue,55.93,59.26,75.0,12.5,58.33
Burnout,52.24,45.71,75.0,33.33,52.94
Average,63.86,58.474000000000004,69.712,61.250000000000014,73.94300000000001
