Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Eye Infection,57.89,42.11,20.0,100.0,91.67
Earache,68.57,50.0,77.78,50.0,100.0
Constipation,60.98,50.0,40.0,100.0,100.0
Sore Throat,84.44,78.57,85.71,50.0,93.33
Skin Lesion,57.14,36.84,66.67,100.0,72.73
Dizziness,50.98,66.67,36.84,50.0,33.33
Burnout,63.27,51.85,100.0,33.33,72.73
Migraine,73.08,62.07,81.82,50.0,100.0
Fatigue,60.66,56.25,66.67,66.67,62.5
Back Pain,81.13,66.67,91.67,100.0,88.24
Average,65.814,56.102999999999994,66.716,69.99999999999999,81.453
