Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,80.0,87.5,85.71,100.0,66.67
Eye Infection,76.0,72.73,50.0,100.0,88.89
Skin Lesion,76.0,60.0,100.0,100.0,71.43
Constipation,88.89,83.33,75.0,100.0,100.0
Sore Throat,83.33,75.0,85.71,100.0,88.89
Burnout,72.5,68.75,77.78,40.0,90.0
Migraine,80.95,77.27,90.0,50.0,87.5
Dizziness,73.33,70.59,66.67,100.0,83.33
Fatigue,77.78,89.47,77.78,25.0,75.0
Back Pain,80.49,81.25,60.0,66.67,100.0
Average,78.92699999999999,76.58900000000001,76.865,78.167,85.171
