Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,97.22,92.86,100.0,100.0,100.0
Eye Infection,97.3,100.0,100.0,100.0,90.91
Skin Lesion,85.0,89.47,55.56,100.0,100.0
Constipation,95.12,95.0,90.0,100.0,100.0
Sore Throat,97.78,92.86,100.0,100.0,100.0
Burnout,95.92,96.3,100.0,100.0,90.91
Migraine,92.16,86.21,100.0,100.0,100.0
Dizziness,98.04,100.0,100.0,100.0,85.71
Fatigue,98.33,100.0,93.33,100.0,100.0
Back Pain,90.74,95.45,91.67,100.0,82.35
Average,94.761,94.81500000000001,93.056,100.0,94.988
