Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,67.57,47.06,88.89,50.0,100.0
Eye Infection,45.45,22.73,42.86,50.0,84.62
Constipation,61.9,47.62,44.44,100.0,100.0
Skin Lesion,46.67,35.0,63.64,75.0,40.0
Dizziness,57.41,70.83,35.0,50.0,75.0
Migraine,74.55,65.52,100.0,50.0,80.0
Sore Throat,80.39,72.22,87.5,66.67,85.71
Fatigue,57.35,65.62,58.82,37.5,45.45
Burnout,51.95,46.15,76.92,50.0,47.37
Back Pain,60.56,66.67,65.0,100.0,45.83
Average,60.379999999999995,53.94199999999999,66.30699999999999,62.91700000000001,70.398
