Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,68.57,50.0,87.5,100.0,100.0
Sore Throat,80.95,76.92,86.67,66.67,81.82
Constipation,58.54,45.45,50.0,100.0,88.89
Skin Lesion,48.84,25.0,75.0,75.0,63.64
Eye Infection,53.85,34.62,50.0,66.67,92.31
Dizziness,53.85,70.83,29.41,50.0,55.56
Migraine,69.64,55.88,100.0,50.0,90.91
Burnout,47.62,41.67,72.73,0.0,50.0
Fatigue,57.58,57.58,69.23,44.44,54.55
Back Pain,68.75,65.38,71.43,100.0,66.67
Average,60.818999999999996,52.33299999999999,69.197,65.27799999999999,74.43499999999999
