Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,84.0,87.5,85.71,100.0,77.78
Eye Infection,72.0,54.55,50.0,100.0,100.0
Constipation,88.89,83.33,75.0,100.0,100.0
Skin Lesion,80.0,80.0,83.33,100.0,71.43
Sore Throat,86.11,83.33,85.71,100.0,88.89
Dizziness,63.33,64.71,50.0,100.0,66.67
Migraine,85.71,86.36,90.0,50.0,87.5
Back Pain,85.37,87.5,60.0,100.0,100.0
Burnout,72.5,81.25,77.78,40.0,70.0
Fatigue,63.89,73.68,66.67,25.0,50.0
Average,78.17999999999999,78.221,72.41999999999999,81.5,81.227
