Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,67.74,46.67,75.0,100.0,100.0
Constipation,61.54,52.94,44.44,100.0,80.0
Skin Lesion,56.25,40.0,60.0,100.0,64.29
Eye Infection,47.73,26.32,25.0,100.0,81.25
Sore Throat,78.26,66.67,92.86,66.67,81.82
Dizziness,55.1,63.64,37.5,50.0,66.67
Burnout,50.91,44.44,80.0,25.0,50.0
Back Pain,73.47,63.64,77.78,100.0,80.0
Migraine,79.25,66.67,100.0,50.0,100.0
Fatigue,64.52,62.96,85.71,57.14,50.0
Average,63.477,53.395,67.829,74.881,75.40299999999999
