Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,93.75,86.67,100.0,100.0,100.0
Constipation,87.5,88.24,70.0,100.0,100.0
Eye Infection,92.86,100.0,87.5,100.0,87.5
Sore Throat,89.36,83.33,93.33,100.0,90.91
Dizziness,100.0,100.0,100.0,100.0,100.0
Skin Lesion,85.71,90.48,70.0,100.0,85.71
Back Pain,86.0,90.91,100.0,100.0,68.75
Burnout,94.44,92.59,100.0,75.0,100.0
Migraine,100.0,100.0,100.0,100.0,100.0
Fatigue,90.0,92.59,92.86,85.71,83.33
Average,91.962,92.48100000000001,91.369,96.071,91.61999999999999
