Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,67.65,43.75,77.78,100.0,100.0
Eye Infection,51.16,35.0,55.56,100.0,69.23
Skin Lesion,52.27,38.89,70.0,50.0,58.33
Constipation,66.67,52.38,44.44,100.0,100.0
Sore Throat,85.71,75.0,100.0,50.0,90.0
Migraine,69.81,55.88,100.0,50.0,100.0
Fatigue,62.96,68.97,58.33,50.0,57.14
Dizziness,52.83,62.96,36.84,50.0,60.0
Back Pain,72.88,69.23,75.0,100.0,72.22
Burnout,50.72,42.11,72.73,75.0,50.0
Average,63.266,54.41700000000001,69.06800000000001,72.5,75.69200000000001
