Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,72.0,75.0,85.71,100.0,55.56
Constipation,88.89,83.33,75.0,100.0,100.0
Skin Lesion,72.0,70.0,100.0,100.0,42.86
Sore Throat,88.89,83.33,92.86,100.0,88.89
Eye Infection,64.0,54.55,50.0,100.0,77.78
Dizziness,83.33,82.35,66.67,100.0,100.0
Migraine,80.95,77.27,90.0,50.0,87.5
Fatigue,69.44,89.47,66.67,0.0,50.0
Back Pain,80.49,81.25,70.0,66.67,91.67
Burnout,65.0,62.5,77.78,40.0,70.0
Average,76.499,75.905,77.46900000000001,75.667,76.42599999999999
