Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,97.22,93.75,100.0,100.0,100.0
Constipation,90.24,89.47,77.78,100.0,100.0
Skin Lesion,84.44,88.89,60.0,100.0,91.67
Sore Throat,97.62,93.75,100.0,100.0,100.0
Eye Infection,97.92,96.0,100.0,100.0,100.0
Dizziness,98.11,100.0,100.0,100.0,87.5
Migraine,98.15,96.97,100.0,100.0,100.0
Fatigue,98.0,100.0,91.67,100.0,100.0
Back Pain,100.0,100.0,100.0,100.0,100.0
Burnout,98.53,100.0,100.0,100.0,93.75
Average,96.023,95.88300000000001,92.94500000000001,100.0,97.292
