Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Constipation,60.98,50.0,45.45,100.0,90.0
Eye Infection,62.79,54.17,57.14,50.0,90.0
Earache,63.41,45.0,77.78,33.33,100.0
Sore Throat,82.0,68.75,86.67,66.67,93.75
Dizziness,50.88,61.54,27.78,100.0,54.55
Fatigue,53.45,54.55,61.54,40.0,42.86
Skin Lesion,55.32,42.86,66.67,100.0,53.85
Migraine,71.43,55.26,90.0,100.0,100.0
Back Pain,70.15,59.26,83.33,100.0,68.42
Burnout,50.0,42.5,81.82,25.0,52.63
Average,62.041,53.388999999999996,67.81800000000001,71.5,74.606
