Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Constipation,97.22,94.44,100.0,100.0,100.0
Eye Infection,97.62,100.0,100.0,100.0,88.89
Earache,97.67,100.0,100.0,83.33,100.0
Skin Lesion,91.49,95.24,66.67,100.0,100.0
Sore Throat,93.48,87.5,100.0,100.0,90.91
Fatigue,93.22,94.12,92.31,100.0,85.71
Dizziness,94.83,96.15,100.0,66.67,90.91
Migraine,95.24,94.87,100.0,66.67,100.0
Back Pain,93.85,100.0,100.0,100.0,78.95
Burnout,100.0,100.0,100.0,100.0,100.0
Average,95.462,96.232,95.898,91.667,93.537
