Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,68.75,46.67,75.0,100.0,100.0
Constipation,60.98,47.62,50.0,100.0,90.0
Sore Throat,75.0,66.67,81.25,66.67,78.57
Migraine,70.83,56.67,100.0,50.0,100.0
Dizziness,48.08,60.0,26.32,50.0,66.67
Skin Lesion,55.81,35.0,75.0,100.0,66.67
Eye Infection,50.0,46.43,33.33,50.0,66.67
Fatigue,58.33,64.29,53.85,50.0,54.55
Burnout,59.32,53.33,72.73,40.0,69.23
Back Pain,75.41,65.38,88.24,100.0,73.33
Average,62.251,54.205999999999996,65.572,70.667,76.569
