Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,84.0,87.5,85.71,100.0,77.78
Skin Lesion,80.0,70.0,100.0,100.0,71.43
Constipation,88.89,83.33,75.0,100.0,100.0
Sore Throat,86.11,83.33,85.71,100.0,88.89
Eye Infection,72.0,63.64,50.0,100.0,88.89
Migraine,83.33,86.36,80.0,50.0,87.5
Dizziness,80.0,82.35,66.67,100.0,83.33
Fatigue,80.56,89.47,77.78,50.0,75.0
Back Pain,90.24,93.75,80.0,100.0,91.67
Burnout,75.0,81.25,77.78,40.0,80.0
Average,82.013,82.098,77.86499999999998,84.0,84.44899999999998
