Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,96.88,93.33,100.0,100.0,100.0
Skin Lesion,82.93,90.0,62.5,100.0,80.0
Constipation,95.12,95.0,87.5,100.0,100.0
Sore Throat,89.58,80.0,93.75,100.0,92.86
Eye Infection,96.0,100.0,100.0,100.0,85.71
Migraine,100.0,100.0,100.0,100.0,100.0
Dizziness,98.21,96.0,100.0,100.0,100.0
Fatigue,94.92,100.0,84.62,100.0,90.0
Back Pain,93.22,100.0,100.0,100.0,71.43
Burnout,100.0,100.0,100.0,100.0,100.0
Average,94.686,95.43299999999999,92.837,100.0,92.0
