Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,100.0,100.0,100.0,100.0,100.0
Burnout,100.0,100.0,100.0,100.0,100.0
Eye Infection,97.14,100.0,100.0,100.0,92.31
Constipation,86.11,76.47,100.0,100.0,92.31
Sore Throat,100.0,100.0,100.0,100.0,100.0
Migraine,100.0,100.0,100.0,100.0,100.0
Dizziness,94.87,94.44,91.67,100.0,100.0
Skin Lesion,75.0,73.33,66.67,100.0,75.0
Fatigue,82.98,78.26,80.0,100.0,90.91
Back Pain,100.0,100.0,100.0,100.0,100.0
Average,93.61,92.25,93.834,100.0,95.053
