Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Eye Infection,89.29,75.0,100.0,100.0,100.0
Fatigue,76.92,72.73,71.43,100.0,80.0
Earache,100.0,100.0,100.0,100.0,100.0
Constipation,90.0,90.91,71.43,100.0,100.0
Dizziness,100.0,100.0,100.0,100.0,100.0
Back Pain,94.29,93.33,83.33,100.0,100.0
Sore Throat,94.59,90.91,100.0,100.0,90.0
Migraine,92.31,88.89,100.0,100.0,88.89
Skin Lesion,80.0,77.78,75.0,100.0,80.0
Burnout,100.0,100.0,100.0,100.0,100.0
Average,91.74000000000001,88.955,90.119,100.0,93.889
